"","word","freq"
"illness","illness",141
"care","care",131
"issues","issues",106
"services","services",80
"new","new",78
"help","help",73
"needs","needs",69
"children","children",69
"crisis","crisis",57
"need","need",53
"can","can",53
"people","people",51
"problems","problems",48
"depression","depression",48
"treatment","treatment",45
"students","students",45
"system","system",41
"suicide","suicide",37
"stigma","stigma",36
"hospital","hospital",35
"mentalhealth","mentalhealth",33
"study","study",30
"says","says",30
"schools","schools",28
"youth","youth",26
"kids","kids",26
"psychiatric","psychiatric",26
"ill","ill",24
"mentally","mentally",24
"better","better",24
"state","state",24
"community","community",24
"police","police",23
"–","–",23
"center","center",22
"behavioral","behavioral",22
"patients","patients",21
"risk","risk",20
"report","report",20
"college","college",20
"address","address",19
"social","social",19
"child","child",19
"work","work",19
"talk","talk",19
"support","support",18
"student","student",18
"use","use",18
"get","get",18
"childrens","childrens",18
"improve","improve",18
"program","program",18
"say","say",17
"—","—",17
"parents","parents",17
"one","one",17
"therapy","therapy",17
"stress","stress",16
"funding","funding",16
"teens","teens",16
"news","news",16
"young","young",16
"medical","medical",16
"county","county",16
"school","school",15
"finds","finds",15
"day","day",15
"first","first",15
"working","working",15
"anxiety","anxiety",14
"take","take",14
"teen","teen",14
"emergency","emergency",14
"face","face",14
"clinic","clinic",14
"disorders","disorders",14
"women","women",14
"jail","jail",14
"wellbeing","wellbeing",14
"high","high",14
"know","know",14
"access","access",14
"providers","providers",13
"broken","broken",13
"life","life",13
"beds","beds",13
"often","often",13
"resources","resources",13
"jails","jails",12
"hospitals","hospitals",12
"healthcare","healthcare",12
"force","force",12
"among","among",12
"service","service",12
"open","open",12
"veterans","veterans",12
"adults","adults",12
"still","still",12
"impact","impact",12
"programs","programs",11
"reform","reform",11
"years","years",11
"change","change",11
"workplace","workplace",11
"‘","‘",11
"centers","centers",11
"prevention","prevention",11
"concerns","concerns",11
"awareness","awareness",11
"psychiatry","psychiatry",11
"review","review",11
"physical","physical",11
"shows","shows",10
"treat","treat",10
"may","may",10
"prison","prison",10
"challenges","challenges",10
"doctors","doctors",10
"shortage","shortage",10
"medicaid","medicaid",10
"cuts","cuts",10
"ways","ways",10
"men","men",10
"week","week",10
"provide","provide",10
"must","must",10
"opens","opens",10
"key","key",10
"role","role",10
"things","things",10
"emotional","emotional",10
"experts","experts",10
"campus","campus",10
"inmates","inmates",9
"global","global",9
"toll","toll",9
"psychiatrist","psychiatrist",9
"every","every",9
"launches","launches",9
"texas","texas",9
"now","now",9
"find","find",9
"families","families",9
"law","law",9
"stop","stop",9
"conditions","conditions",9
"depressed","depressed",9
"survey","survey",9
"linked","linked",9
"children’s","children’s",9
"nhs","nhs",9
"addressing","addressing",9
"national","national",9
"calls","calls",9
"will","will",9
"see","see",9
"kate","kate",9
"iowa","iowa",9
"poor","poor",9
"serious","serious",9
"justice","justice",8
"around","around",8
"black","black",8
"matters","matters",8
"takes","takes",8
"failing","failing",8
"model","model",8
"prisons","prisons",8
"public","public",8
"good","good",8
"opinion","opinion",8
"taking","taking",8
"problem","problem",8
"cost","cost",8
"tell","tell",8
"patient","patient",8
"unit","unit",8
"focus","focus",8
"university","university",8
"offers","offers",8
"way","way",8
"tackle","tackle",8
"psychiatrists","psychiatrists",8
"research","research",8
"issue","issue",8
"heres","heres",8
"primary","primary",8
"screening","screening",7
"meet","meet",7
"top","top",7
"business","business",7
"solutions","solutions",7
"year","year",7
"signs","signs",7
"mind","mind",7
"training","training",7
"times","times",7
"left","left",7
"teachers","teachers",7
"shooting","shooting",7
"struggle","struggle",7
"ask","ask",7
"reveals","reveals",7
"next","next",7
"expand","expand",7
"benefits","benefits",7
"priority","priority",7
"childhood","childhood",7
"family","family",7
"gaps","gaps",7
"million","million",7
"like","like",7
"best","best",7
"workers","workers",7
"puts","puts",7
"trauma","trauma",7
"options","options",7
"city","city",7
"court","court",7
"aims","aims",7
"helping","helping",7
"media","media",7
"prisoners","prisoners",7
"campaign","campaign",7
"approach","approach",7
"wait","wait",7
"greater","greater",7
"world","world",7
"aid","aid",7
"call","call",7
"local","local",7
"advocates","advocates",7
"rates","rates",7
"just","just",7
"important","important",6
"policy","policy",6
"suicides","suicides",6
"culture","culture",6
"list","list",6
"dont","dont",6
"older","older",6
"taboo","taboo",6
"spotlight","spotlight",6
"lack","lack",6
"military","military",6
"air","air",6
"mothers","mothers",6
"worse","worse",6
"refugees","refugees",6
"task","task",6
"comprehensive","comprehensive",6
"many","many",6
"rise","rise",6
"sandy","sandy",6
"video","video",6
"right","right",6
"investing","investing",6
"early","early",6
"end","end",6
"plan","plan",6
"time","time",6
"living","living",6
"risks","risks",6
"womens","womens",6
"getting","getting",6
"apps","apps",6
"illnesses","illnesses",6
"leave","leave",6
"raise","raise",6
"bad","bad",6
"efforts","efforts",6
"woman","woman",6
"plans","plans",6
"facility","facility",6
"improving","improving",6
"making","making",6
"tool","tool",6
"epidemic","epidemic",6
"future","future",6
"integrated","integrated",6
"herald","herald",6
"treating","treating",6
"friend","friend",6
"obamacare","obamacare",5
"story","story",5
"higher","higher",5
"give","give",5
"americans","americans",5
"nearly","nearly",5
"train","train",5
"death","death",5
"rooms","rooms",5
"poverty","poverty",5
"aim","aim",5
"conference","conference",5
"age","age",5
"moving","moving",5
"nonprofit","nonprofit",5
"americas","americas",5
"alone","alone",5
"stories","stories",5
"institute","institute",5
"florida","florida",5
"star","star",5
"helps","helps",5
"team","team",5
"bill","bill",5
"turn","turn",5
"caring","caring",5
"set","set",5
"share","share",5
"moms","moms",5
"technology","technology",5
"states","states",5
"likely","likely",5
"affect","affect",5
"bullying","bullying",5
"coverage","coverage",5
"providing","providing",5
"feel","feel",5
"schizophrenia","schizophrenia",5
"grant","grant",5
"money","money",5
"psychological","psychological",5
"job","job",5
"hook","hook",5
"human","human",5
"courts","courts",5
"disorder","disorder",5
"today","today",5
"less","less",5
"five","five",5
"light","light",5
"substance","substance",5
"brain","brain",5
"watch","watch",5
"stigmas","stigmas",5
"middleton","middleton",5
"homeless","homeless",5
"close","close",5
"critical","critical",5
"leads","leads",5
"man","man",5
"tech","tech",5
"deal","deal",5
"lead","lead",5
"failed","failed",5
"suffer","suffer",5
"happy","happy",5
"isnt","isnt",5
"whats","whats",5
"lives","lives",5
"longterm","longterm",5
"changing","changing",5
"six","six",5
"war","war",5
"demi","demi",5
"lovato","lovato",5
"growing","growing",5
"congress","congress",5
"cancer","cancer",5
"counseling","counseling",5
"violent","violent",5
"affects","affects",5
"countys","countys",5
"youre","youre",5
"place","place",5
"drug","drug",5
"start","start",5
"last","last",5
"nation","nation",5
"urges","urges",5
"shots","shots",5
"app","app",5
"seek","seek",5
"education","education",5
"prince","prince",5
"teenagers","teenagers",4
"hurt","hurt",4
"ease","ease",4
"criminal","criminal",4
"san","san",4
"pregnancy","pregnancy",4
"bring","bring",4
"back","back",4
"discrimination","discrimination",4
"facilities","facilities",4
"american","american",4
"army","army",4
"soldiers","soldiers",4
"long","long",4
"everyone","everyone",4
"fixing","fixing",4
"door","door",4
"kid","kid",4
"worker","worker",4
"cause","cause",4
"essential","essential",4
"doctor","doctor",4
"mother","mother",4
"three","three",4
"show","show",4
"found","found",4
"much","much",4
"suffering","suffering",4
"gets","gets",4
"want","want",4
"teams","teams",4
"helped","helped",4
"adult","adult",4
"indiana","indiana",4
"insurance","insurance",4
"struggled","struggled",4
"announces","announces",4
"departments","departments",4
"kaiser","kaiser",4
"addresses","addresses",4
"hope","hope",4
"changes","changes",4
"music","music",4
"attention","attention",4
"canadian","canadian",4
"together","together",4
"tackles","tackles",4
"therapist","therapist",4
"rights","rights",4
"emergencies","emergencies",4
"small","small",4
"two","two",4
"seniors","seniors",4
"cut","cut",4
"york","york",4
"abuse","abuse",4
"ptsd","ptsd",4
"vets","vets",4
"wellness","wellness",4
"drexel","drexel",4
"drexelnow","drexelnow",4
"’","’",4
"advocate","advocate",4
"post","post",4
"project","project",4
"progress","progress",4
"struggling","struggling",4
"hard","hard",4
"despite","despite",4
"parity","parity",4
"government","government",4
"facing","facing",4
"offer","offer",4
"half","half",4
"readers","readers",4
"put","put",4
"foster","foster",4
"pilots","pilots",4
"front","front",4
"screen","screen",4
"lets","lets",4
"supports","supports",4
"ontario","ontario",4
"adolescent","adolescent",4
"silent","silent",4
"latino","latino",4
"play","play",4
"later","later",4
"patrick","patrick",4
"enforcement","enforcement",4
"parent","parent",4
"practice","practice",4
"agencies","agencies",4
"steps","steps",4
"fix","fix",4
"teaches","teaches",4
"needed","needed",4
"questions","questions",4
"others","others",4
"special","special",4
"condition","condition",4
"room","room",4
"manage","manage",4
"shootings","shootings",4
"focuses","focuses",4
"debate","debate",4
"explores","explores",4
"feeling","feeling",4
"look","look",4
"battling","battling",4
"increasing","increasing",4
"keep","keep",4
"management","management",4
"population","population",4
"woes","woes",4
"nursing","nursing",4
"create","create",4
"disclose","disclose",4
"burden","burden",4
"data","data",4
"mom","mom",4
"healing","healing",4
"yakima","yakima",4
"william","william",4
"instagram","instagram",4
"nurses","nurses",3
"aca","aca",3
"valley","valley",3
"girls","girls",3
"symptoms","symptoms",3
"fathers","fathers",3
"rising","rising",3
"tells","tells",3
"expansion","expansion",3
"moves","moves",3
"silence","silence",3
"guidance","guidance",3
"caused","caused",3
"toward","toward",3
"fort","fort",3
"soldier","soldier",3
"going","going",3
"seeking","seeking",3
"mean","mean",3
"disability","disability",3
"fill","fill",3
"four","four",3
"areas","areas",3
"display","display",3
"adam","adam",3
"closing","closing",3
"gap","gap",3
"residents","residents",3
"innovative","innovative",3
"members","members",3
"gun","gun",3
"north","north",3
"always","always",3
"process","process",3
"reasons","reasons",3
"cope","cope",3
"fail","fail",3
"pain","pain",3
"push","push",3
"causes","causes",3
"safety","safety",3
"partnership","partnership",3
"meets","meets",3
"homelessness","homelessness",3
"disclosing","disclosing",3
"senior","senior",3
"cells","cells",3
"hasnt","hasnt",3
"understanding","understanding",3
"opening","opening",3
"eliminating","eliminating",3
"makes","makes",3
"creating","creating",3
"lessons","lessons",3
"struggles","struggles",3
"pay","pay",3
"actually","actually",3
"treatments","treatments",3
"almost","almost",3
"killed","killed",3
"reduces","reduces",3
"independent","independent",3
"deaf","deaf",3
"supporting","supporting",3
"used","used",3
"healthy","healthy",3
"federal","federal",3
"musicians","musicians",3
"ive","ive",3
"make","make",3
"yearold","yearold",3
"challenge","challenge",3
"teaching","teaching",3
"worst","worst",3
"group","group",3
"disparities","disparities",3
"game","game",3
"crime","crime",3
"happens","happens",3
"person","person",3
"hurting","hurting",3
"kind","kind",3
"idaho","idaho",3
"town","town",3
"initiative","initiative",3
"improves","improves",3
"doesnt","doesnt",3
"deaths","deaths",3
"little","little",3
"communities","communities",3
"provides","provides",3
"laws","laws",3
"inside","inside",3
"believe","believe",3
"pupils","pupils",3
"bisexual","bisexual",3
"juvenile","juvenile",3
"understand","understand",3
"devastating","devastating",3
"california","california",3
"powerful","powerful",3
"attract","attract",3
"major","major",3
"provider","provider",3
"duchess","duchess",3
"harm","harm",3
"days","days",3
"•","•",3
"concerned","concerned",3
"fall","fall",3
"forward","forward",3
"increase","increase",3
"goes","goes",3
"ems","ems",3
"inadequate","inadequate",3
"peoples","peoples",3
"promoting","promoting",3
"created","created",3
"biggest","biggest",3
"cases","cases",3
"alabama","alabama",3
"lines","lines",3
"sleep","sleep",3
"adding","adding",3
"shift","shift",3
"pilot","pilot",3
"relationship","relationship",3
"systems","systems",3
"reach","reach",3
"amid","amid",3
"individuals","individuals",3
"trends","trends",3
"building","building",3
"art","art",3
"rate","rate",3
"beyond","beyond",3
"anxious","anxious",3
"strain","strain",3
"suggests","suggests",3
"hosts","hosts",3
"pass","pass",3
"truth","truth",3
"immigrants","immigrants",3
"countries","countries",3
"wealthy","wealthy",3
"trying","trying",3
"confinement","confinement",3
"exclusive","exclusive",3
"possible","possible",3
"boston","boston",3
"legacy","legacy",3
"staff","staff",3
"away","away",3
"michael","michael",3
"integrating","integrating",3
"america","america",3
"renewed","renewed",3
"fight","fight",3
"jacksonville","jacksonville",3
"springs","springs",3
"number","number",3
"since","since",3
"happened","happened",3
"told","told",3
"seen","seen",3
"lowincome","lowincome",3
"think","think",3
"charity","charity",3
"professionals","professionals",3
"dallas","dallas",3
"chronic","chronic",3
"pediatric","pediatric",3
"theres","theres",3
"erasing","erasing",3
"india","india",3
"rural","rural",3
"industry","industry",3
"agency","agency",3
"ers","ers",3
"wrong","wrong",3
"refugee","refugee",3
"complex","complex",3
"blame","blame",3
"landscape","landscape",3
"conversations","conversations",3
"lawmakers","lawmakers",3
"arent","arent",3
"views","views",3
"food","food",3
"success","success",3
"build","build",3
"experience","experience",3
"majority","majority",3
"unique","unique",3
"even","even",3
"largest","largest",3
"board","board",3
"act","act",3
"can’t","can’t",3
"jones","jones",3
"ceo","ceo",3
"resort","resort",3
"area","area",3
"boost","boost",3
"effects","effects",3
"case","case",3
"costs","costs",3
"gives","gives",3
"huge","huge",3
"taught","taught",3
"troubled","troubled",3
"tips","tips",3
"youths","youths",3
"consider","consider",3
"south","south",3
"journal","journal",3
"pennsylvania","pennsylvania",3
"postpartum","postpartum",3
"general","general",3
"overview","overview",3
"event","event",3
"economy","economy",3
"underserved","underserved",3
"transgender","transgender",3
"caregivers","caregivers",3
"employers","employers",3
"counties","counties",3
"disabilities","disabilities",3
"missing","missing",3
"platform","platform",3
"addiction","addiction",3
"untreated","untreated",3
"month","month",3
"father","father",3
"identify","identify",3
"wamu","wamu",3
"became","became",3
"joseph","joseph",3
"providence","providence",3
"save","save",3
"susan","susan",3
"someone","someone",3
"remain","remain",3
"speaks","speaks",3
"barriers","barriers",3
"cudi","cudi",3
"basic","basic",2
"gay","gay",2
"meditation","meditation",2
"accountable","accountable",2
"organization","organization",2
"obesity","obesity",2
"suffers","suffers",2
"adhd","adhd",2
"sons","sons",2
"bed","bed",2
"psych","psych",2
"clinics","clinics",2
"century","century",2
"harmful","harmful",2
"universities","universities",2
"race","race",2
"monitor","monitor",2
"waits","waits",2
"hold","hold",2
"hood","hood",2
"kills","kills",2
"faces","faces",2
"tools","tools",2
"casper","casper",2
"comes","comes",2
"consequences","consequences",2
"lose","lose",2
"intellectual","intellectual",2
"meeting","meeting",2
"traumatized","traumatized",2
"emerging","emerging",2
"solution","solution",2
"article","article",2
"latinos","latinos",2
"liaison","liaison",2
"nurse","nurse",2
"regrets","regrets",2
"outofarea","outofarea",2
"sent","sent",2
"wake","wake",2
"responds","responds",2
"loved","loved",2
"real","real",2
"mediation","mediation",2
"impacts","impacts",2
"debt","debt",2
"delivery","delivery",2
"really","really",2
"went","went",2
"frontier","frontier",2
"works","works",2
"combat","combat",2
"fourday","fourday",2
"leader","leader",2
"medicine","medicine",2
"tracking","tracking",2
"office","office",2
"sheriffs","sheriffs",2
"maybe","maybe",2
"affected","affected",2
"importance","importance",2
"die","die",2
"putting","putting",2
"failure","failure",2
"low","low",2
"urgent","urgent",2
"childs","childs",2
"results","results",2
"diagnosis","diagnosis",2
"annual","annual",2
"chief","chief",2
"officer","officer",2
"charities","charities",2
"learned","learned",2
"ward","ward",2
"china","china",2
"recognizes","recognizes",2
"advice","advice",2
"hurdles","hurdles",2
"private","private",2
"didnt","didnt",2
"dcf","dcf",2
"aimed","aimed",2
"break","break",2
"don’t","don’t",2
"cambridge","cambridge",2
"adolescents","adolescents",2
"word","word",2
"hits","hits",2
"diet","diet",2
"increased","increased",2
"psychosis","psychosis",2
"dire","dire",2
"crises","crises",2
"lacking","lacking",2
"commission","commission",2
"third","third",2
"shifts","shifts",2
"safe","safe",2
"double","double",2
"bipolar","bipolar",2
"disturbing","disturbing",2
"lanza","lanza",2
"shooter","shooter",2
"chances","chances",2
"missed","missed",2
"dance","dance",2
"song","song",2
"step","step",2
"classroom","classroom",2
"colleagues","colleagues",2
"peace","peace",2
"overhaul","overhaul",2
"shining","shining",2
"become","become",2
"home","home",2
"severe","severe",2
"washburn","washburn",2
"letter","letter",2
"miamidade","miamidade",2
"worlds","worlds",2
"kitchen","kitchen",2
"scarce","scarce",2
"fighting","fighting",2
"bright","bright",2
"novel","novel",2
"places","places",2
