"","word","freq"
"issues","issues",95
"illness","illness",83
"care","care",71
"needs","needs",59
"children","children",50
"people","people",50
"services","services",48
"crisis","crisis",43
"help","help",43
"need","need",40
"can","can",39
"problems","problems",36
"new","new",32
"students","students",29
"patients","patients",26
"nhs","nhs",25
"says","says",23
"work","work",23
"stigma","stigma",22
"depression","depression",21
"young","young",21
"social","social",20
"schools","schools",20
"study","study",19
"school","school",18
"police","police",18
"report","report",18
"childrens","childrens",18
"system","system",17
"risk","risk",16
"–","–",16
"child","child",16
"finds","finds",15
"better","better",15
"mentalhealth","mentalhealth",15
"wellbeing","wellbeing",15
"support","support",15
"get","get",14
"teachers","teachers",14
"treatment","treatment",14
"therapy","therapy",14
"say","say",14
"talk","talk",14
"stress","stress",13
"one","one",13
"improve","improve",13
"service","service",12
"life","life",12
"ill","ill",12
"use","use",12
"must","must",12
"address","address",11
"youth","youth",11
"take","take",11
"years","years",11
"community","community",11
"prison","prison",10
"hospital","hospital",10
"mentally","mentally",10
"healthcare","healthcare",10
"kids","kids",10
"disorders","disorders",10
"change","change",10
"workers","workers",10
"access","access",10
"face","face",10
"matters","matters",9
"student","student",9
"men","men",9
"parents","parents",9
"workplace","workplace",9
"things","things",9
"know","know",9
"among","among",9
"problem","problem",9
"failing","failing",9
"college","college",9
"trust","trust",9
"global","global",8
"funding","funding",8
"survey","survey",8
"emotional","emotional",8
"‘","‘",8
"now","now",8
"staff","staff",8
"shows","shows",7
"beds","beds",7
"anxiety","anxiety",7
"black","black",7
"mind","mind",7
"state","state",7
"cuts","cuts",7
"future","future",7
"psychiatry","psychiatry",7
"broken","broken",7
"day","day",7
"women","women",7
"opinion","opinion",7
"tell","tell",7
"good","good",7
"focus","focus",7
"working","working",7
"key","key",7
"best","best",7
"impact","impact",7
"pupils","pupils",7
"just","just",7
"kate","kate",7
"resources","resources",7
"isnt","isnt",7
"poor","poor",7
"important","important",6
"around","around",6
"failed","failed",6
"aims","aims",6
"taboo","taboo",6
"approach","approach",6
"prisons","prisons",6
"public","public",6
"launches","launches",6
"refugees","refugees",6
"seek","seek",6
"suffering","suffering",6
"stop","stop",6
"adults","adults",6
"medical","medical",6
"disorder","disorder",6
"like","like",6
"time","time",6
"much","much",6
"—","—",6
"make","make",6
"human","human",6
"apps","apps",6
"illnesses","illnesses",6
"tackle","tackle",6
"every","every",6
"’s","’s",6
"first","first",6
"experts","experts",6
"government","government",6
"suicide","suicide",6
"cost","cost",6
"will","will",6
"last","last",6
"program","program",6
"review","review",6
"teacher","teacher",6
"rates","rates",6
"year","year",6
"programs","programs",5
"put","put",5
"culture","culture",5
"rise","rise",5
"dont","dont",5
"higher","higher",5
"toll","toll",5
"left","left",5
"alone","alone",5
"stories","stories",5
"times","times",5
"ways","ways",5
"likely","likely",5
"death","death",5
"psychiatric","psychiatric",5
"cells","cells",5
"end","end",5
"children’s","children’s",5
"centers","centers",5
"schizophrenia","schizophrenia",5
"early","early",5
"national","national",5
"conditions","conditions",5
"benefits","benefits",5
"deaths","deaths",5
"still","still",5
"less","less",5
"start","start",5
"food","food",5
"bad","bad",5
"aid","aid",5
"media","media",5
"research","research",5
"trauma","trauma",5
"find","find",5
"trained","trained",5
"campaign","campaign",5
"high","high",5
"serious","serious",5
"greater","greater",5
"world","world",5
"heres","heres",5
"behavioral","behavioral",5
"county","county",5
"think","think",5
"physical","physical",5
"doctors","doctors",5
"issue","issue",5
"treating","treating",5
"often","often",5
"growing","growing",5
"concerns","concerns",5
"prince","prince",5
"education","education",5
"nice","nice",5
"gay","gay",4
"teenagers","teenagers",4
"screening","screening",4
"policy","policy",4
"may","may",4
"charity","charity",4
"facing","facing",4
"back","back",4
"business","business",4
"pregnancy","pregnancy",4
"teens","teens",4
"discrimination","discrimination",4
"training","training",4
"families","families",4
"helps","helps",4
"mothers","mothers",4
"worse","worse",4
"nurse","nurse",4
"older","older",4
"return","return",4
"share","share",4
"case","case",4
"top","top",4
"week","week",4
"family","family",4
"gaps","gaps",4
"linked","linked",4
"affect","affect",4
"bipolar","bipolar",4
"needed","needed",4
"supporting","supporting",4
"killed","killed",4
"treat","treat",4
"music","music",4
"attention","attention",4
"psychological","psychological",4
"addressing","addressing",4
"five","five",4
"leave","leave",4
"investing","investing",4
"believe","believe",4
"bisexual","bisexual",4
"signs","signs",4
"days","days",4
"powerful","powerful",4
"reveals","reveals",4
"nursing","nursing",4
"want","want",4
"prisoners","prisoners",4
"takes","takes",4
"comprehensive","comprehensive",4
"lets","lets",4
"teen","teen",4
"suffer","suffer",4
"manage","manage",4
"primary","primary",4
"role","role",4
"looks","looks",4
"centre","centre",4
"challenge","challenge",4
"using","using",4
"news","news",4
"place","place",4
"increasing","increasing",4
"disclose","disclose",4
"app","app",4
"william","william",4
"inmates","inmates",3
"nurses","nurses",3
"justice","justice",3
"dementia","dementia",3
"wrong","wrong",3
"bed","bed",3
"hundreds","hundreds",3
"shortage","shortage",3
"treated","treated",3
"discusses","discusses",3
"threat","threat",3
"harmful","harmful",3
"americas","americas",3
"texas","texas",3
"worker","worker",3
"disability","disability",3
"tackling","tackling",3
"force","force",3
"four","four",3
"ask","ask",3
"three","three",3
"show","show",3
"video","video",3
"managing","managing",3
"cope","cope",3
"moms","moms",3
"disclosing","disclosing",3
"feel","feel",3
"american","american",3
"priority","priority",3
"childhood","childhood",3
"struggles","struggles",3
"break","break",3
"university","university",3
"ive","ive",3
"addresses","addresses",3
"fixing","fixing",3
"canadian","canadian",3
"opens","opens",3
"secret","secret",3
"london","london",3
"job","job",3
"teaching","teaching",3
"getting","getting",3
"crime","crime",3
"found","found",3
"small","small",3
"communities","communities",3
"barriers","barriers",3
"fresh","fresh",3
"’","’",3
"understand","understand",3
"brain","brain",3
"psychiatrists","psychiatrists",3
"awareness","awareness",3
"progress","progress",3
"cut","cut",3
"helping","helping",3
"middleton","middleton",3
"watch","watch",3
"stigmas","stigmas",3
"woman","woman",3
"half","half",3
"northern","northern",3
"troubles","troubles",3
"since","since",3
"hard","hard",3
"least","least",3
"lead","lead",3
"friends","friends",3
"sick","sick",3
"reform","reform",3
"amid","amid",3
"changing","changing",3
"speech","speech",3
"war","war",3
"demi","demi",3
"lovato","lovato",3
"homeless","homeless",3
"many","many",3
"seen","seen",3
"million","million",3
"severe","severe",3
"attitudes","attitudes",3
"parent","parent",3
"countries","countries",3
"struggle","struggle",3
"happy","happy",3
"integrating","integrating",3
"psychiatrist","psychiatrist",3
"steps","steps",3
"fix","fix",3
"patient","patient",3
"relationship","relationship",3
"home","home",3
"difference","difference",3
"campus","campus",3
"pediatric","pediatric",3
"real","real",3
"chronic","chronic",3
"lives","lives",3
"patrick","patrick",3
"special","special",3
"industry","industry",3
"feeling","feeling",3
"technology","technology",3
"youre","youre",3
"look","look",3
"talks","talks",3
"views","views",3
"majority","majority",3
"affects","affects",3
"means","means",3
"syrian","syrian",3
"management","management",3
"wait","wait",3
"readers","readers",3
"normal","normal",3
"six","six",3
"taught","taught",3
"alexander","alexander",3
"olly","olly",3
"call","call",3
"burden","burden",3
"essential","essential",3
"action","action",3
"making","making",3
"understanding","understanding",3
"blog","blog",3
"network","network",3
"transgender","transgender",3
"veterans","veterans",3
"condition","condition",3
"tool","tool",3
"risks","risks",3
"healing","healing",3
"next","next",3
"managers","managers",3
"save","save",3
"turn","turn",3
"someone","someone",3
"guidance","guidance",3
"basic","basic",2
"meet","meet",2
"criminal","criminal",2
"suicides","suicides",2
"house","house",2
"ease","ease",2
"meditation","meditation",2
"mindfulness","mindfulness",2
"miles","miles",2
"sees","sees",2
"sent","sent",2
"adult","adult",2
"wards","wards",2
"solutions","solutions",2
"congo","congo",2
"providing","providing",2
"universities","universities",2
"dual","dual",2
"medicaid","medicaid",2
"respond","respond",2
"hospitals","hospitals",2
"jails","jails",2
"model","model",2
"toward","toward",2
"conference","conference",2
"institute","institute",2
"liaison","liaison",2
"lose","lose",2
"mean","mean",2
"fill","fill",2
"outofarea","outofarea",2
"gap","gap",2
"intellectual","intellectual",2
"air","air",2
"giving","giving",2
"meeting","meeting",2
"successful","successful",2
"jail","jail",2
"went","went",2
"lessons","lessons",2
"fail","fail",2
"doctor","doctor",2
"homelessness","homelessness",2
"pain","pain",2
"putting","putting",2
"disparities","disparities",2
"low","low",2
"charities","charities",2
"alcohol","alcohol",2
"bullying","bullying",2
"consequences","consequences",2
"childs","childs",2
"drinking","drinking",2
"opening","opening",2
"struggled","struggled",2
"deaf","deaf",2
"hope","hope",2
"almost","almost",2
"don’t","don’t",2
"used","used",2
"together","together",2
"intervention","intervention",2
"leavers","leavers",2
"unmet","unmet",2
"come","come",2
"adolescents","adolescents",2
"reduces","reduces",2
"independent","independent",2
"visions","visions",2
"girls","girls",2
"diet","diet",2
"andrew","andrew",2
"quit","quit",2
"wife","wife",2
"hits","hits",2
"battle","battle",2
"david","david",2
"scots","scots",2
"sufferers","sufferers",2
"experiences","experiences",2
"changes","changes",2
"dire","dire",2
"worst","worst",2
"mainstream","mainstream",2
"happens","happens",2
"person","person",2
"group","group",2
"rights","rights",2
"third","third",2
"lacking","lacking",2
"cases","cases",2
"learn","learn",2
"rare","rare",2
"challenges","challenges",2
"protect","protect",2
"classroom","classroom",2
"colleagues","colleagues",2
"see","see",2
"breaking","breaking",2
"enough","enough",2
"offer","offer",2
"hook","hook",2
"sandy","sandy",2
"two","two",2
"today","today",2
"reasons","reasons",2
"ten","ten",2
"fighting","fighting",2
"wellness","wellness",2
"drexelnow","drexelnow",2
"places","places",2
"asked","asked",2
"attract","attract",2
"underfunded","underfunded",2
"rules","rules",2
"project","project",2
"act","act",2
"girl","girl",2
"teenage","teenage",2
"water","water",2
"mps","mps",2
"harm","harm",2
"deliver","deliver",2
"duchess","duchess",2
"launched","launched",2
"incoming","incoming",2
"peoples","peoples",2
"promoting","promoting",2
"despite","despite",2
"parity","parity",2
"law","law",2
"ireland","ireland",2
"happiness","happiness",2
"increase","increase",2
"plan","plan",2
"data","data",2
"headaches","headaches",2
"link","link",2
"record","record",2
"assistants","assistants",2
"director","director",2
"caused","caused",2
"friendship","friendship",2
"daughters","daughters",2
"side","side",2
"well","well",2
"manchester","manchester",2
"private","private",2
"£m","£m",2
"emergencies","emergencies",2
"humanitarian","humanitarian",2
"earthquake","earthquake",2
"distress","distress",2
"game","game",2
"therapist","therapist",2
"ignoring","ignoring",2
"effective","effective",2
"money","money",2
"worth","worth",2
"whats","whats",2
"tech","tech",2
"due","due",2
"eight","eight",2
"rate","rate",2
"open","open",2
"seriously","seriously",2
"turning","turning",2
"career","career",2
"resort","resort",2
"beyond","beyond",2
"moving","moving",2
"respite","respite",2
"gift","gift",2
"cent","cent",2
"truth","truth",2
"wealthy","wealthy",2
"plans","plans",2
"exam","exam",2
"exams","exams",2
"minority","minority",2
"initiative","initiative",2
"professionals","professionals",2
"daughter","daughter",2
"yearold","yearold",2
"away","away",2
"michael","michael",2
"charge","charge",2
"congress","congress",2
"symptoms","symptoms",2
"screen","screen",2
"cqc","cqc",2
"inadequate","inadequate",2
"fear","fear",2
"revealed","revealed",2
"seniors","seniors",2
"professional","professional",2
"tips","tips",2
"natasha","natasha",2
"prevention","prevention",2
"provider","provider",2
"england","england",2
"smoking","smoking",2
"promote","promote",2
"theres","theres",2
"city","city",2
"series","series",2
"coleen","coleen",2
"dear","dear",2
"mentoring","mentoring",2
"others","others",2
"addiction","addiction",2
"minutes","minutes",2
"silence","silence",2
"bmc","bmc",2
"exploring","exploring",2
"erasing","erasing",2
"rising","rising",2
"ahead","ahead",2
"reading","reading",2
"compassion","compassion",2
"charlotte","charlotte",2
"coroner","coroner",2
"calling","calling",2
"depressed","depressed",2
"biggest","biggest",2
"ever","ever",2
"nutritional","nutritional",2
"advocates","advocates",2
"battling","battling",2
"negative","negative",2
"obstacles","obstacles",2
"fund","fund",2
"raise","raise",2
"unit","unit",2
"states","states",2
"experience","experience",2
"suggests","suggests",2
"play","play",2
"adolescent","adolescent",2
"even","even",2
"substance","substance",2
"ground","ground",2
"solve","solve",2
"pets","pets",2
"trusts","trusts",2
"jones","jones",2
"cash","cash",2
"integrated","integrated",2
"strategy","strategy",2
"within","within",2
"population","population",2
"destigmatize","destigmatize",2
"reality","reality",2
"hit","hit",2
"local","local",2
"cant","cant",2
"blame","blame",2
"pressure","pressure",2
"journey","journey",2
"selfharm","selfharm",2
"puts","puts",2
"insurance","insurance",2
"average","average",2
"yet","yet",2
"costs","costs",2
"options","options",2
"urges","urges",2
"devastating","devastating",2
"generation","generation",2
"ignored","ignored",2
"mother","mother",2
"board","board",2
"improving","improving",2
"tools","tools",2
"delivering","delivering",2
"environment","environment",2
"south","south",2
"struggling","struggling",2
"figures","figures",2
"aren’t","aren’t",2
"shortages","shortages",2
"lottery","lottery",2
"increases","increases",2
"line","line",2
"head","head",2
"uae","uae",2
"nearly","nearly",2
"trapped","trapped",2
"practice","practice",2
"millions","millions",2
"debt","debt",2
"ontario","ontario",2
"liberia","liberia",2
"development","development",2
"effectively","effectively",2
"economy","economy",2
"shadows","shadows",2
"creating","creating",2
"framework","framework",2
"stole","stole",2
"adding","adding",2
"felt","felt",2
"cancer","cancer",2
"seeing","seeing",2
"drug","drug",2
"daily","daily",2
"stay","stay",2
"manual","manual",2
"never","never",2
"irish","irish",2
"americans","americans",2
"gps","gps",2
"part","part",2
"platform","platform",2
"walgreens","walgreens",2
"infant","infant",2
"fathers","fathers",2
"emergency","emergency",2
"jamaicans","jamaicans",2
"ending","ending",2
"king","king",2
"opened","opened",2
"unique","unique",2
"stressful","stressful",2
"violent","violent",2
"color","color",2
"demand","demand",2
"friend","friend",2
"pay","pay",2
"general","general",2
"caring","caring",2
"shots","shots",2
"diagnosis","diagnosis",2
"nine","nine",2
"architecture","architecture",2
"perinatal","perinatal",2
"bring","bring",2
"scientific","scientific",2
"scheme","scheme",2
"models","models",2
"told","told",2
"reason","reason",2
"employee","employee",2
"deal","deal",2
"train","train",2
"dating","dating",2
"hawk","hawk",2
"susan","susan",2
"dallas","dallas",2
"officers","officers",2
"selfneglect","selfneglect",2
"suffered","suffered",2
"employees","employees",2
"tyson","tyson",2
"drowning","drowning",2
"list","list",2
"star","star",2
"ashamed","ashamed",2
"jeremy","jeremy",2
"alarmingly","alarmingly",2
"released","released",1
"control","control",1
"council","council",1
"norfolk","norfolk",1
"reclaims","reclaims",1
"looms","looms",1
"controversy","controversy",1
"plagues","plagues",1
"betray","betray",1
"neglected","neglected",1
"antelope","antelope",1
"southampton","southampton",1
"close","close",1
"shakeup","shakeup",1
"academia","academia",1
"acceptance","acceptance",1
"unwell","unwell",1
"colleges","colleges",1
"flunk","flunk",1
"romford","romford",1
"todays","todays",1
"howie","howie",1
"mandel","mandel",1
"hellesdon","hellesdon",1
"century","century",1
"slave","slave",1
"tells","tells",1
"programme","programme",1
"engineering","engineering",1
"hub","hub",1
"democratic","democratic",1
"kivu","kivu",1
"north","north",1
"republic","republic",1
"blight","blight",1
"race","race",1
"adopt","adopt",1
"expansion","expansion",1
"potter","potter",1
"refusal","refusal",1
"allotment","allotment",1
"alternative","alternative",1
"greenfingers","greenfingers",1
"sage","sage",1
"moves","moves",1
"pick","pick",1
"pieces","pieces",1
"hold","hold",1
"safetypublic","safetypublic",1
"meadows","meadows",1
"integration","integration",1
"kid","kid",1
"void","void",1
"explained","explained",1
"shifting","shifting",1
"solution","solution",1
"task","task",1
"viable","viable",1
"bail","bail",1
"hostel","hostel",1
"integrate","integrate",1
"residents","residents",1
"society","society",1
"team","team",1
"closing","closing",1
"encourage","encourage",1
"seeking","seeking",1
"birth","birth",1
"persons","persons",1
"…","…",1
"bedlam","bedlam",1
"recreating","recreating",1
"traumatized","traumatized",1
"innovative","innovative",1
"games","games",1
"likes","likes",1
"maturing","maturing",1
"raider","raider",1
"taking","taking",1
"tomb","tomb",1
"bill","bill",1
"meds","meds",1
"following","following",1
"members","members",1
"loved","loved",1
"sudden","sudden",1
"trigger","trigger",1
"cell","cell",1
"refuse","refuse",1
"center","center",1
"humble","humble",1
"responds","responds",1
"text","text",1
"assessment","assessment",1
"healthneeds","healthneeds",1
"differently","differently",1
"continuum","continuum",1
"including","including",1
"favorite","favorite",1
"gamings","gamings",1
"villain","villain",1
"combat","combat",1
"fourday","fourday",1
"difficulties","difficulties",1
"overcoming","overcoming",1
"push","push",1
"wider","wider",1
"scandal","scandal",1
"syrias","syrias",1
"york","york",1
"affected","affected",1
"alcoholrelated","alcoholrelated",1
"soldiers","soldiers",1
"shame","shame",1
"celebrating","celebrating",1
"importance","importance",1
"stresses","stresses",1
"african","african",1
"cusseaux","cusseaux",1
"die","die",1
"michelle","michelle",1
"free","free",1
"indonesia","indonesia",1
"shackles","shackles",1
"annual","annual",1
"chief","chief",1
"officer","officer",1
"consumption","consumption",1
"prenatal","prenatal",1
"binge","binge",1
"results","results",1
"china","china",1
"leftbehind","leftbehind",1
"carers","carers",1
"lllnesses","lllnesses",1
"urgent","urgent",1
"assessing","assessing",1
"drivers","drivers",1
"lorry","lorry",1
"barrier","barrier",1
"lifeway","lifeway",1
"pastors","pastors",1
"specialist","specialist",1
"cambridge","cambridge",1
"equipped","equipped",1
"healthy","healthy",1
"living","living",1
"learnt","learnt",1
"campaigns","campaigns",1
"word","word",1
"‘stigma’","‘stigma’",1
"baker","baker",1
"maureen","maureen",1
"didn’t","didn’t",1
"shed","shed",1
"tv’","tv’",1
"watching","watching",1
"’d","’d",1
"clinic","clinic",1
"maltreated","maltreated",1
"dcf","dcf",1
"redesign","redesign",1
"nls","nls",1
"iai","iai",1
"montreal","montreal",1
"politics","politics",1
"stoner","stoner",1
"bedbug","bedbug",1
"blood","blood",1
"madness","madness",1
"suckers","suckers",1
"bid","bid",1
"cox","cox",1
"demons","demons",1
"footballer","footballer",1
"dangerous","dangerous",1
"listening","listening",1
"aimed","aimed",1
"hotbeds","hotbeds",1
"mumbai","mumbai",1
"slums","slums",1
"choice","choice",1
"abandon","abandon",1
"diseasemodel","diseasemodel",1
"gone","gone",1
"hasnt","hasnt",1
"comes","comes",1
"factor","factor",1
"commits","commits",1
"judicial","judicial",1
"notice","notice",1
"patriotnews","patriotnews",1
"abuses","abuses",1
"libyans","libyans",1
"problems’","problems’",1
"‘leave","‘leave",1
"obamacare","obamacare",1
"murder","murder",1
"smartphone","smartphone",1
"manifesto","manifesto",1
"myriad","myriad",1
"little","little",1
"slack","slack",1
"run","run",1
"southerners","southerners",1
"town","town",1
"christian","christian",1
