"","word","freq"
"illness","illness",134
"care","care",131
"issues","issues",124
"services","services",85
"new","new",85
"help","help",79
"needs","needs",78
"children","children",67
"crisis","crisis",61
"can","can",59
"need","need",58
"people","people",54
"depression","depression",49
"treatment","treatment",48
"system","system",46
"problems","problems",43
"students","students",41
"suicide","suicide",37
"stigma","stigma",36
"mentalhealth","mentalhealth",35
"hospital","hospital",35
"ill","ill",32
"mentally","mentally",32
"says","says",32
"–","–",30
"study","study",29
"community","community",29
"psychiatric","psychiatric",28
"patients","patients",27
"youth","youth",26
"state","state",26
"schools","schools",26
"center","center",25
"behavioral","behavioral",25
"kids","kids",24
"better","better",23
"work","work",23
"get","get",23
"social","social",22
"child","child",22
"address","address",21
"police","police",21
"therapy","therapy",21
"improve","improve",21
"college","college",21
"support","support",21
"student","student",20
"one","one",20
"risk","risk",19
"say","say",19
"childrens","childrens",19
"program","program",19
"use","use",18
"talk","talk",18
"young","young",18
"finds","finds",17
"news","news",17
"report","report",17
"county","county",17
"school","school",16
"teens","teens",16
"parents","parents",16
"broken","broken",16
"jail","jail",16
"medical","medical",16
"access","access",16
"stress","stress",15
"clinic","clinic",15
"healthcare","healthcare",15
"know","know",15
"working","working",15
"first","first",15
"anxiety","anxiety",14
"emergency","emergency",14
"face","face",14
"funding","funding",14
"—","—",14
"day","day",14
"men","men",14
"women","women",14
"service","service",14
"wellbeing","wellbeing",14
"high","high",14
"often","often",14
"resources","resources",14
"prison","prison",13
"take","take",13
"hospitals","hospitals",13
"life","life",13
"disorders","disorders",13
"must","must",13
"veterans","veterans",13
"awareness","awareness",13
"reform","reform",12
"years","years",12
"jails","jails",12
"beds","beds",12
"adults","adults",12
"‘","‘",12
"centers","centers",12
"still","still",12
"programs","programs",11
"shows","shows",11
"global","global",11
"doctors","doctors",11
"teen","teen",11
"cuts","cuts",11
"teachers","teachers",11
"now","now",11
"providers","providers",11
"among","among",11
"opens","opens",11
"focus","focus",11
"prevention","prevention",11
"nhs","nhs",11
"will","will",11
"experts","experts",11
"may","may",10
"year","year",10
"shortage","shortage",10
"toll","toll",10
"takes","takes",10
"launches","launches",10
"ways","ways",10
"change","change",10
"week","week",10
"provide","provide",10
"workplace","workplace",10
"addressing","addressing",10
"university","university",10
"workers","workers",10
"key","key",10
"role","role",10
"things","things",10
"impact","impact",10
"concerns","concerns",10
"kate","kate",10
"serious","serious",10
"open","open",10
"treat","treat",9
"medicaid","medicaid",9
"matters","matters",9
"mind","mind",9
"every","every",9
"public","public",9
"good","good",9
"opinion","opinion",9
"force","force",9
"find","find",9
"families","families",9
"cost","cost",9
"stop","stop",9
"survey","survey",9
"linked","linked",9
"children’s","children’s",9
"research","research",9
"national","national",9
"way","way",9
"see","see",9
"poor","poor",9
"iowa","iowa",9
"physical","physical",9
"calls","calls",9
"campaign","campaign",9
"psychiatry","psychiatry",9
"heres","heres",9
"campus","campus",9
"review","review",9
"rates","rates",9
"inmates","inmates",8
"around","around",8
"business","business",8
"higher","higher",8
"black","black",8
"failing","failing",8
"psychiatrist","psychiatrist",8
"model","model",8
"shooting","shooting",8
"refugees","refugees",8
"likely","likely",8
"seek","seek",8
"problem","problem",8
"expand","expand",8
"aims","aims",8
"gaps","gaps",8
"million","million",8
"challenges","challenges",8
"conditions","conditions",8
"benefits","benefits",8
"tackle","tackle",8
"court","court",8
"advocates","advocates",8
"woman","woman",8
"approach","approach",8
"world","world",8
"treating","treating",8
"primary","primary",8
"important","important",7
"justice","justice",7
"dont","dont",7
"solutions","solutions",7
"death","death",7
"older","older",7
"prisons","prisons",7
"texas","texas",7
"left","left",7
"counseling","counseling",7
"end","end",7
"tool","tool",7
"herald","herald",7
"struggle","struggle",7
"ask","ask",7
"comprehensive","comprehensive",7
"reveals","reveals",7
"tell","tell",7
"next","next",7
"unit","unit",7
"depressed","depressed",7
"family","family",7
"plan","plan",7
"like","like",7
"offers","offers",7
"best","best",7
"getting","getting",7
"less","less",7
"illnesses","illnesses",7
"psychiatrists","psychiatrists",7
"bad","bad",7
"helping","helping",7
"facility","facility",7
"greater","greater",7
"demi","demi",7
"lovato","lovato",7
"issue","issue",7
"just","just",7
"screening","screening",6
"meet","meet",6
"policy","policy",6
"signs","signs",6
"poverty","poverty",6
"taboo","taboo",6
"american","american",6
"moving","moving",6
"spotlight","spotlight",6
"times","times",6
"institute","institute",6
"alone","alone",6
"stories","stories",6
"suffering","suffering",6
"mothers","mothers",6
"top","top",6
"rise","rise",6
"many","many",6
"taking","taking",6
"video","video",6
"law","law",6
"right","right",6
"much","much",6
"youre","youre",6
"investing","investing",6
"york","york",6
"insurance","insurance",6
"priority","priority",6
"affect","affect",6
"childhood","childhood",6
"pay","pay",6
"time","time",6
"living","living",6
"apps","apps",6
"disorder","disorder",6
"city","city",6
"raise","raise",6
"post","post",6
"emotional","emotional",6
"media","media",6
"middleton","middleton",6
"homeless","homeless",6
"trauma","trauma",6
"plans","plans",6
"look","look",6
"trained","trained",6
"patient","patient",6
"prisoners","prisoners",6
"isnt","isnt",6
"lives","lives",6
"war","war",6
"congress","congress",6
"needed","needed",6
"cancer","cancer",6
"aid","aid",6
"options","options",6
"call","call",6
"act","act",6
"integrated","integrated",6
"shots","shots",6
"suicides","suicides",5
"story","story",5
"culture","culture",5
"americans","americans",5
"train","train",5
"rooms","rooms",5
"conference","conference",5
"training","training",5
"age","age",5
"long","long",5
"nonprofit","nonprofit",5
"americas","americas",5
"journal","journal",5
"military","military",5
"star","star",5
"worse","worse",5
"helps","helps",5
"residents","residents",5
"team","team",5
"gap","gap",5
"bill","bill",5
"show","show",5
"turn","turn",5
"caring","caring",5
"san","san",5
"share","share",5
"moms","moms",5
"states","states",5
"make","make",5
"schizophrenia","schizophrenia",5
"grant","grant",5
"psychological","psychological",5
"puts","puts",5
"risks","risks",5
"hook","hook",5
"sandy","sandy",5
"human","human",5
"today","today",5
"courts","courts",5
"five","five",5
"light","light",5
"leave","leave",5
"substance","substance",5
"brain","brain",5
"bisexual","bisexual",5
"advocate","advocate",5
"watch","watch",5
"stigmas","stigmas",5
"efforts","efforts",5
"close","close",5
"house","house",5
"critical","critical",5
"increase","increase",5
"hard","hard",5
"man","man",5
"tech","tech",5
"changing","changing",5
"failed","failed",5
"improving","improving",5
"suffer","suffer",5
"want","want",5
"systems","systems",5
"happy","happy",5
"whats","whats",5
"six","six",5
"making","making",5
"epidemic","epidemic",5
"future","future",5
"patrick","patrick",5
"fix","fix",5
"growing","growing",5
"violent","violent",5
"affects","affects",5
"refugee","refugee",5
"countys","countys",5
"debate","debate",5
"lawmakers","lawmakers",5
"battling","battling",5
"wait","wait",5
"drug","drug",5
"place","place",5
"local","local",5
"nation","nation",5
"app","app",5
"education","education",5
"last","last",5
"prince","prince",5
"gay","gay",4
"teenagers","teenagers",4
"hurt","hurt",4
"obamacare","obamacare",4
"pregnancy","pregnancy",4
"nearly","nearly",4
"tells","tells",4
"back","back",4
"expansion","expansion",4
"aim","aim",4
"silence","silence",4
"discrimination","discrimination",4
"caused","caused",4
"toward","toward",4
"fort","fort",4
"lack","lack",4
"fixing","fixing",4
"air","air",4
"seeking","seeking",4
"fill","fill",4
"task","task",4
"worker","worker",4
"essential","essential",4
"cause","cause",4
"closing","closing",4
"gun","gun",4
"found","found",4
"set","set",4
"troubled","troubled",4
"give","give",4
"gets","gets",4
"teams","teams",4
"disparities","disparities",4
"indiana","indiana",4
"views","views",4
"bullying","bullying",4
"coverage","coverage",4
"struggles","struggles",4
"forced","forced",4
"kaiser","kaiser",4
"providing","providing",4
"addresses","addresses",4
"hope","hope",4
"changes","changes",4
"music","music",4
"supporting","supporting",4
"used","used",4
"attention","attention",4
"canadian","canadian",4
"together","together",4
"money","money",4
"job","job",4
"teaching","teaching",4
"early","early",4
"group","group",4
"tackles","tackles",4
"therapist","therapist",4
"small","small",4
"two","two",4
"cut","cut",4
"communities","communities",4
"abuse","abuse",4
"inside","inside",4
"wellness","wellness",4
"drexelnow","drexelnow",4
"pupils","pupils",4
"’","’",4
"bring","bring",4
"food","food",4
"progress","progress",4
"struggling","struggling",4
"alabama","alabama",4
